Date,State_National,ConfirmedCasesIndian_National,ConfirmedCasesForeign_National,Discharged_National,Deaths_National,TotalConfirmed_National
2020-03-10,47,31,16,0,0,0
2020-03-11,60,44,16,0,0,0
2020-03-12,73,56,17,0,0,0
2020-03-13,82,65,17,10,2,0
2020-03-14,84,67,17,10,2,0
2020-03-15,110,93,17,13,2,0
2020-03-16,114,97,17,13,2,0
2020-03-17,137,113,24,14,3,0
2020-03-18,151,126,25,14,3,0
2020-03-19,173,148,25,20,4,0
2020-03-20,223,191,32,23,4,0
2020-03-21,283,244,39,23,4,0
2020-03-22,360,319,41,24,7,0
2020-03-23,467,393,40,35,8,34
2020-03-24,519,476,43,40,10,0
2020-03-25,606,563,43,43,10,0
2020-03-26,694,647,47,45,15,0
2020-03-27,724,677,47,67,17,0
2020-03-28,909,862,47,80,19,0
2020-03-29,1024,976,48,96,27,0
2020-03-30,1251,1157,48,102,31,46
2020-03-31,1397,1311,48,124,35,38
2020-04-01,1834,1786,48,144,41,0
2020-04-02,2069,2021,48,156,53,0
2020-04-03,2547,2422,48,163,62,77
2020-04-04,3072,3024,48,213,75,0
2020-04-05,3577,3529,48,275,83,0
2020-04-06,4281,4233,48,319,111,0
2020-04-07,4789,4741,48,353,124,0
2020-04-08,5274,5226,48,411,149,0
2020-04-09,5865,5817,48,478,169,0
2020-04-10,6761,6713,48,516,206,0
2020-04-11,7529,7481,48,653,242,0
2020-04-12,8447,8399,48,765,273,0
2020-04-13,9352,9304,48,980,324,0
2020-04-14,10815,10767,48,1190,353,0
2020-04-15,11933,11885,48,1344,392,0
2020-04-16,12759,12711,48,1515,420,0
2020-04-17,13835,13787,48,1767,452,0
2020-04-18,14792,14744,48,2015,488,0
2020-04-19,16116,16068,48,2302,519,0
2020-04-20,17656,17608,48,2842,559,0
2020-04-21,18985,18937,48,3260,603,0
2020-04-22,20471,20423,48,3960,652,0
2020-04-23,21700,21652,48,4325,686,0
